Date,Hospitalized
12/01/2020,"1,204"
12/02/2020,"1,255"
12/03/2020,"1,306"
12/04/2020,"1,354"
12/05/2020,"1,375"
12/06/2020,"1,416"
12/07/2020,"1,476"
12/08/2020,"1,524"
12/09/2020,"1,578"
12/10/2020,"1,668"
12/11/2020,"1,701"
12/12/2020,"1,727"
12/13/2020,"1,857"
12/14/2020,"1,968"
12/15/2020,"2,000"
12/16/2020,"2,005"
12/17/2020,"1,984"
12/18/2020,"2,038"
12/19/2020,"2,036"
12/20/2020,"2,112"
12/21/2020,"2,242"
12/22/2020,"2,337"
12/23/2020,"2,387"
12/24/2020,"2,391"
12/25/2020,"2,384"
12/26/2020,"2,478"
12/27/2020,"2,631"
12/28/2020,"2,717"
12/29/2020,"2,772"
12/30/2020,"2,758"
12/31/2020,"2,709"
01/01/2021,"2,682"
01/02/2021,"2,783"
01/03/2021,"2,884"
01/04/2021,"3,055"
01/05/2021,"3,107"
01/06/2021,"3,060"
01/07/2021,"3,066"
01/08/2021,"3,104"
01/09/2021,"3,105"
01/10/2021,"3,163"
01/11/2021,"3,290"
01/12/2021,"3,318"
01/13/2021,"3,292"
01/14/2021,"3,341"
01/15/2021,"3,415"
01/16/2021,"3,408"
01/17/2021,"3,449"
01/18/2021,"3,658"
01/19/2021,"3,745"
01/20/2021,"3,669"
01/21/2021,"3,600"
01/22/2021,"3,589"
01/23/2021,"3,558"
01/24/2021,"3,638"
01/25/2021,"3,730"
01/26/2021,"3,771"
01/27/2021,"3,664"
01/28/2021,"3,621"
01/29/2021,"3,561"
01/30/2021,"3,524"
01/31/2021,"3,559"
02/01/2021,"3,614"
02/02/2021,"3,667"
02/03/2021,"3,667"
02/04/2021,"3,698"
02/05/2021,"3,679"
02/06/2021,"3,677"
02/07/2021,"3,756"
02/08/2021,"3,884"
02/09/2021,"3,797"
02/10/2021,"3,687"
02/11/2021,"3,560"
02/12/2021,"3,491"
02/13/2021,"3,397"
02/14/2021,"3,476"
02/15/2021,"3,494"
02/16/2021,"3,530"
02/17/2021,"3,450"
02/18/2021,"3,314"
02/19/2021,"3,236"
02/20/2021,"3,130"
02/21/2021,"3,166"
02/22/2021,"3,298"
02/23/2021,"3,252"
02/24/2021,"3,190"
02/25/2021,"3,193"
02/26/2021,"3,080"
02/27/2021,"3,000"
02/28/2021,"3,036"
03/01/2021,"3,084"
03/02/2021,"3,067"
03/03/2021,"2,997"
03/04/2021,"2,936"
03/05/2021,"2,926"
03/06/2021,"2,826"
03/07/2021,"2,872"
03/08/2021,"2,931"
03/09/2021,"2,885"
03/10/2021,"2,854"
03/11/2021,"2,781"
03/12/2021,"2,760"
03/13/2021,"2,656"
03/14/2021,"2,642"
03/15/2021,"2,718"
03/16/2021,"2,708"
03/17/2021,"2,646"
03/18/2021,"2,628"
03/19/2021,"2,616"
03/20/2021,"2,540"
03/21/2021,"2,626"
03/22/2021,"2,747"
03/23/2021,"2,689"
03/24/2021,"2,670"
03/25/2021,"2,637"
03/26/2021,"2,620"
03/27/2021,"2,583"
03/28/2021,"2,606"
03/29/2021,"2,670"
03/30/2021,"2,651"
03/31/2021,"2,592"
04/01/2021,"2,538"
